宜春,20250321,20250324,660,1739498752,YIC
上海,20250220,20250223,700,1739756107,SHA
上海,20250221,20250224,750,1739756107,SHA
上海,20250313,20250316,770,1739756107,SHA
成都,20250227,20250302,750,1739756107,CTU
成都,20250228,20250303,797,1739756107,CTU
成都,20250306,20250309,760,1739756107,CTU
杭州,20250220,20250223,680,1739756107,HGH
杭州,20250221,20250224,660,1739756107,HGH
杭州,20250227,20250302,760,1739756107,HGH
杭州,20250228,20250303,729,1739756107,HGH
杭州,20250306,20250309,736,1739756107,HGH
杭州,20250307,20250310,720,1739756107,HGH
杭州,20250313,20250316,740,1739756107,HGH
杭州,20250314,20250317,740,1739756107,HGH
杭州,20250320,20250323,799,1739756107,HGH
武汉,20250220,20250223,618,1739756107,WUH
武汉,20250221,20250224,600,1739756107,WUH
武汉,20250227,20250302,740,1739756107,WUH
武汉,20250228,20250303,579,1739756107,WUH
武汉,20250306,20250309,669,1739756107,WUH
武汉,20250307,20250310,699,1739756107,WUH
武汉,20250313,20250316,669,1739756107,WUH
武汉,20250314,20250317,700,1739756107,WUH
武汉,20250320,20250323,669,1739756107,WUH
武汉,20250321,20250324,730,1739756107,WUH
西安,20250220,20250223,680,1739756107,SIA
西安,20250221,20250224,776,1739756107,SIA
西安,20250227,20250302,620,1739756107,SIA
西安,20250228,20250303,630,1739756107,SIA
西安,20250306,20250309,590,1739756107,SIA
西安,20250307,20250310,680,1739756107,SIA
西安,20250313,20250316,700,1739756107,SIA
西安,20250314,20250317,720,1739756107,SIA
西安,20250320,20250323,700,1739756107,SIA
西安,20250321,20250324,740,1739756107,SIA
重庆,20250220,20250223,770,1739756107,CKG
重庆,20250227,20250302,735,1739756107,CKG
重庆,20250228,20250303,700,1739756107,CKG
重庆,20250306,20250309,740,1739756107,CKG
重庆,20250313,20250316,785,1739756107,CKG
南京,20250220,20250223,700,1739756107,NKG
南京,20250221,20250224,785,1739756107,NKG
南京,20250227,20250302,700,1739756107,NKG
南京,20250228,20250303,700,1739756107,NKG
南京,20250306,20250309,700,1739756107,NKG
南京,20250307,20250310,700,1739756107,NKG
昆明,20250227,20250302,719,1739756107,KMG
昆明,20250228,20250303,720,1739756107,KMG
昆明,20250306,20250309,740,1739756107,KMG
昆明,20250307,20250310,720,1739756107,KMG
昆明,20250313,20250316,740,1739756107,KMG
济南,20250220,20250223,670,1739756107,TNA
济南,20250221,20250224,630,1739756107,TNA
济南,20250227,20250302,620,1739756107,TNA
济南,20250228,20250303,580,1739756107,TNA
济南,20250306,20250309,650,1739756107,TNA
济南,20250307,20250310,650,1739756107,TNA
济南,20250313,20250316,680,1739756107,TNA
济南,20250314,20250317,700,1739756107,TNA
济南,20250320,20250323,720,1739756107,TNA
济南,20250321,20250324,670,1739756107,TNA
福州,20250306,20250309,670,1739756107,FOC
福州,20250313,20250316,673,1739756107,FOC
福州,20250314,20250317,678,1739756107,FOC
福州,20250320,20250323,678,1739756107,FOC
福州,20250321,20250324,678,1739756107,FOC
常州,20250220,20250223,700,1739756107,CZX
常州,20250221,20250224,700,1739756107,CZX
常州,20250227,20250302,728,1739756107,CZX
常州,20250228,20250303,749,1739756107,CZX
常州,20250306,20250309,679,1739756107,CZX
常州,20250307,20250310,700,1739756107,CZX
常州,20250313,20250316,699,1739756107,CZX
常州,20250314,20250317,700,1739756107,CZX
东营,20250220,20250223,620,1739756107,DOY
东营,20250221,20250224,650,1739756107,DOY
东营,20250227,20250302,520,1739756107,DOY
东营,20250228,20250303,620,1739756107,DOY
东营,20250306,20250309,570,1739756107,DOY
东营,20250307,20250310,570,1739756107,DOY
东营,20250313,20250316,620,1739756107,DOY
东营,20250314,20250317,620,1739756107,DOY
东营,20250320,20250323,720,1739756107,DOY
东营,20250321,20250324,620,1739756107,DOY
贵阳,20250220,20250223,495,1739756107,KWE
贵阳,20250221,20250224,680,1739756107,KWE
贵阳,20250227,20250302,510,1739756107,KWE
贵阳,20250228,20250303,576,1739756107,KWE
贵阳,20250306,20250309,577,1739756107,KWE
贵阳,20250307,20250310,600,1739756107,KWE
贵阳,20250313,20250316,577,1739756107,KWE
贵阳,20250314,20250317,719,1739756107,KWE
贵阳,20250320,20250323,770,1739756107,KWE
海口,20250221,20250224,795,1739756107,HAK
海口,20250227,20250302,690,1739756107,HAK
海口,20250228,20250303,770,1739756107,HAK
海口,20250306,20250309,660,1739756107,HAK
海口,20250307,20250310,400,1739756107,HAK
海口,20250313,20250316,740,1739756107,HAK
海口,20250314,20250317,769,1739756107,HAK
海口,20250320,20250323,758,1739756107,HAK
合肥,20250220,20250223,772,1739756107,HFE
合肥,20250221,20250224,777,1739756107,HFE
黄山,20250220,20250223,666,1739756107,TXN
黄山,20250227,20250302,710,1739756107,TXN
黄山,20250306,20250309,636,1739756107,TXN
黄山,20250307,20250310,754,1739756107,TXN
黄山,20250313,20250316,640,1739756107,TXN
黄山,20250314,20250317,766,1739756107,TXN
黄山,20250320,20250323,640,1739756107,TXN
泸州,20250221,20250224,560,1739756107,LZO
泸州,20250227,20250302,676,1739756107,LZO
泸州,20250228,20250303,480,1739756107,LZO
泸州,20250306,20250309,640,1739756107,LZO
泸州,20250307,20250310,640,1739756107,LZO
泸州,20250313,20250316,671,1739756107,LZO
泸州,20250314,20250317,672,1739756107,LZO
泸州,20250320,20250323,687,1739756107,LZO
泸州,20250321,20250324,787,1739756107,LZO
宁波,20250220,20250223,620,1739756107,NGB
宁波,20250221,20250224,500,1739756107,NGB
宁波,20250227,20250302,740,1739756107,NGB
宁波,20250228,20250303,640,1739756107,NGB
宁波,20250306,20250309,770,1739756107,NGB
宁波,20250307,20250310,740,1739756107,NGB
宁波,20250314,20250317,740,1739756107,NGB
宁波,20250321,20250324,790,1739756107,NGB
南宁,20250220,20250223,720,1739756107,NNG
南宁,20250221,20250224,670,1739756107,NNG
南宁,20250227,20250302,670,1739756107,NNG
南宁,20250228,20250303,670,1739756107,NNG
南宁,20250306,20250309,720,1739756107,NNG
南宁,20250307,20250310,670,1739756107,NNG
衢州,20250220,20250223,726,1739756107,JUZ
衢州,20250221,20250224,750,1739756107,JUZ
衢州,20250227,20250302,755,1739756107,JUZ
衢州,20250228,20250303,750,1739756107,JUZ
衢州,20250306,20250309,755,1739756107,JUZ
衢州,20250307,20250310,760,1739756107,JUZ
衢州,20250313,20250316,755,1739756107,JUZ
衢州,20250314,20250317,755,1739756107,JUZ
衢州,20250320,20250323,760,1739756107,JUZ
衢州,20250321,20250324,760,1739756107,JUZ
上饶,20250220,20250223,740,1739756107,SQD
上饶,20250221,20250224,740,1739756107,SQD
上饶,20250227,20250302,740,1739756107,SQD
上饶,20250228,20250303,700,1739756107,SQD
上饶,20250306,20250309,700,1739756107,SQD
上饶,20250307,20250310,700,1739756107,SQD
上饶,20250313,20250316,700,1739756107,SQD
上饶,20250314,20250317,700,1739756107,SQD
台州,20250313,20250316,770,1739756107,HYN
温州,20250220,20250223,560,1739756107,WNZ
温州,20250221,20250224,620,1739756107,WNZ
温州,20250227,20250302,690,1739756107,WNZ
温州,20250228,20250303,750,1739756107,WNZ
温州,20250306,20250309,707,1739756107,WNZ
温州,20250307,20250310,690,1739756107,WNZ
温州,20250313,20250316,680,1739756107,WNZ
温州,20250314,20250317,690,1739756107,WNZ
温州,20250320,20250323,750,1739756107,WNZ
乌海,20250314,20250317,710,1739756107,WUA
无锡,20250227,20250302,782,1739756107,WUX
襄阳,20250227,20250302,780,1739756107,XFN
襄阳,20250228,20250303,780,1739756107,XFN
襄阳,20250306,20250309,780,1739756107,XFN
襄阳,20250307,20250310,780,1739756107,XFN
襄阳,20250314,20250317,780,1739756107,XFN
襄阳,20250320,20250323,780,1739756107,XFN
宜宾,20250320,20250323,700,1739756107,YBP
宜宾,20250321,20250324,700,1739756107,YBP
上海,20250221,20250224,750,1739848381,SHA
上海,20250227,20250302,720,1739848381,SHA
上海,20250306,20250309,700,1739848381,SHA
上海,20250307,20250310,768,1739848381,SHA
上海,20250313,20250316,740,1739848381,SHA
上海,20250314,20250317,783,1739848381,SHA
成都,20250220,20250223,770,1739848381,CTU
成都,20250227,20250302,760,1739848381,CTU
成都,20250228,20250303,720,1739848381,CTU
成都,20250313,20250316,760,1739848381,CTU
成都,20250314,20250317,760,1739848381,CTU
杭州,20250220,20250223,680,1739848381,HGH
杭州,20250221,20250224,670,1739848381,HGH
杭州,20250227,20250302,753,1739848381,HGH
杭州,20250228,20250303,750,1739848381,HGH
杭州,20250306,20250309,750,1739848381,HGH
杭州,20250307,20250310,716,1739848381,HGH
杭州,20250313,20250316,758,1739848381,HGH
杭州,20250314,20250317,738,1739848381,HGH
杭州,20250320,20250323,778,1739848381,HGH
杭州,20250321,20250324,760,1739848381,HGH
武汉,20250220,20250223,668,1739848381,WUH
武汉,20250221,20250224,727,1739848381,WUH
武汉,20250228,20250303,599,1739848381,WUH
武汉,20250306,20250309,669,1739848381,WUH
